Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,H-L,O-C,MA(7),MA(14),MA(21),SD(7)
TCS,EQ,03-Jan-11,1165.65,1167,1176.95,1154.55,1158,1158.05,1162.96,702521,817004362.9,-,424604,60.44,22.4,8.95,,,,
TCS,EQ,04-Jan-11,1158.05,1163.9,1166.15,1138.1,1142.1,1144.75,1154.16,1251434,1444351131,-,704124,56.27,28.05,19.15,,,,
TCS,EQ,05-Jan-11,1144.75,1145.25,1165.9,1141.75,1160,1158.95,1154.89,1534837,1772568663,-,917295,59.76,24.15,-13.7,,,,
TCS,EQ,06-Jan-11,1158.95,1168,1182,1153.1,1181,1171.7,1164.4,1423360,1657361935,-,885495,62.21,28.9,-3.7,,,,
TCS,EQ,07-Jan-11,1171.7,1176,1186.85,1138.15,1139.5,1142.65,1159.82,1266362,1468752976,-,661873,52.27,48.7,33.35,,,,
TCS,EQ,10-Jan-11,1142.65,1147.5,1149,1121,1123.7,1130.9,1133.38,1976213,2239793500,-,1217232,61.59,28,16.6,,,,
TCS,EQ,11-Jan-11,1130.9,1123,1135.55,1087.8,1108,1098.5,1109.36,1884365,2090440984,-,877807,46.58,47.75,24.5,1143.642857,,,23.91494353
TCS,EQ,12-Jan-11,1098.5,1109.9,1151.6,1108,1132,1135.95,1130.76,1580437,1787087391,-,717198,45.38,43.6,-26.05,1140.485714,,,23.14227219
TCS,EQ,13-Jan-11,1135.95,1128.95,1155.95,1116.2,1125.25,1124.25,1131.65,2794599,3162502980,-,1518581,54.34,39.75,4.7,1137.557143,,,23.80044517
TCS,EQ,14-Jan-11,1124.25,1129.9,1150,1120,1120.2,1120.15,1125.85,1575846,1774164053,-,709385,45.02,30,9.75,1132.014286,,,22.4687137
TCS,EQ,17-Jan-11,1120.15,1121.2,1146.55,1120,1139.2,1137.4,1135.15,1500106,1702840400,-,631675,42.11,26.55,-16.2,1127.114286,,,14.80449578
TCS,EQ,18-Jan-11,1137.4,1174,1208.9,1164.35,1196.45,1202.55,1188.05,4240685,5038138331,-,1688885,39.83,44.55,-28.55,1135.671429,,,32.27913228
TCS,EQ,19-Jan-11,1202.55,1203.45,1209,1185,1194.15,1193,1192.72,1476020,1760481172,-,742407,50.3,24,10.45,1144.542857,,,38.65345423
TCS,EQ,20-Jan-11,1193,1180,1218.75,1180,1213,1212.2,1209.86,2272604,2749523939,-,1296599,57.05,38.75,-32.2,1160.785714,1152.214286,,39.94844296
TCS,EQ,21-Jan-11,1212.2,1210,1220,1204,1212,1211.65,1212.1,1298702,1574156812,-,810356,62.4,16,-1.65,1171.6,1156.042857,,42.2827585
TCS,EQ,24-Jan-11,1211.65,1200,1220,1198.25,1206,1209.2,1209.92,1008339,1220005024,-,573084,56.83,21.75,-9.2,1183.735714,1160.646429,,38.44432895
TCS,EQ,25-Jan-11,1209.2,1214.8,1219.3,1180,1198,1188.55,1202.79,1233547,1483701991,-,763327,61.88,39.3,26.25,1193.507143,1162.760714,,26.39276145
